pl_name,pl_letter,hostname,gaia_id,disc_locale,ra,dec,pl_orbper,st_spectype,pl_rade,pl_masse,st_lum,sy_dist,sky_coord.ra,sky_coord.dec
HD 39194 b,Unknown,Unknown,Unknown,Ground,86.129071,-70.1382377,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,86.129071,-70.1382377
HD 39194 c,Unknown,Unknown,Unknown,Ground,86.129071,-70.1382377,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,86.129071,-70.1382377
HD 39194 d,Unknown,Unknown,Unknown,Ground,86.129071,-70.1382377,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,86.129071,-70.1382377
HD 39855 b,Unknown,Unknown,Unknown,Ground,88.6260731,-19.7044472,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,88.6260731,-19.7044472
HD 40307 b,Unknown,Unknown,Unknown,Ground,88.51721909999999,-60.0237289,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,88.51721909999999,-60.0237289
HD 40307 c,Unknown,Unknown,Unknown,Ground,88.51721909999999,-60.0237289,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,88.51721909999999,-60.0237289
HD 40307 d,Unknown,Unknown,Unknown,Ground,88.51721909999999,-60.0237289,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,88.51721909999999,-60.0237289
HD 40307 f,Unknown,Unknown,Unknown,Ground,88.51721909999999,-60.0237289,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,88.51721909999999,-60.0237289
HD 40307 g,Unknown,Unknown,Unknown,Ground,88.5172191,-60.0237289,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,88.5172191,-60.0237289
HD 40956 b,Unknown,Unknown,Unknown,Ground,91.6628015,63.453875,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,91.6628015,63.453875
HD 40979 b,Unknown,Unknown,Unknown,Ground,91.1253346,44.2597855,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,91.1253346,44.2597855
HD 41004 A b,Unknown,Unknown,Unknown,Ground,89.9566041,-48.2394189,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,89.9566041,-48.2394189
HD 41004 B b,Unknown,Unknown,Unknown,Ground,89.9565956,-48.2394114,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,89.9565956,-48.2394114
HD 4113 b,Unknown,Unknown,Unknown,Ground,10.8027515,-37.9831248,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,10.8027515,-37.9831248
HD 42012 b,Unknown,Unknown,Unknown,Ground,92.485473,34.1341722,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,92.485473,34.1341722
HD 4203 b,Unknown,Unknown,Unknown,Ground,11.1722288,20.4483925,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,11.1722288,20.4483925
HD 4203 c,Unknown,Unknown,Unknown,Ground,11.1722288,20.4483925,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,11.1722288,20.4483925
HD 4208 b,Unknown,Unknown,Unknown,Ground,11.1125532,-26.5150392,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,11.1125532,-26.5150392
HD 42618 b,Unknown,Unknown,Unknown,Ground,93.0032173,6.7819742,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,93.0032173,6.7819742
HD 42813 b,Unknown,Unknown,Unknown,Ground,93.0578446,-14.6493167,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,93.0578446,-14.6493167
HD 4308 b,Unknown,Unknown,Unknown,Ground,11.1652594,-65.6527159,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,11.1652594,-65.6527159
HD 4313 b,Unknown,Unknown,Unknown,Ground,11.4181301,7.845049200000001,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,11.4181301,7.845049200000001
HD 43197 b,Unknown,Unknown,Unknown,Ground,93.3993231,-29.8971929,3.1606296,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,,93.3993231,-29.8971929
