Index,pl_name,hostname,ra,dec,sy_gaiamag,sy_dist
143,NGTS-27 b,NGTS-27,206.0265266,-32.5229747,13.3475,942.122
144,TOI-3912 b,TOI-3912,215.8014956,24.0765639,12.3073,465.992
145,TOI-2842 b,TOI-2842,108.0442066,-10.63934,12.4636,460.995
146,TOI-3984 A b,TOI-3984 A,226.3371468,36.7869747,14.6718,108.883
147,TOI-2145 b,TOI-2145,263.7580753,40.6950428,8.93651,224.731
148,WASP-4 b,WASP-4,353.5629149,-42.0617794,12.3162,267.206
149,TOI-1693 b,TOI-1693,90.3083455,34.7730904,11.8373,30.7947
150,TOI-1736 b,TOI-1736,43.4344615,69.101345,8.77969,88.9482
151,KELT-12 b,KELT-12,267.6404906,36.5701761,10.4842,368.03
152,TOI-3331 A b,TOI-3331 A,271.3241672,-34.107171,11.8314,217.193
153,TOI-3321 b,TOI-3321,265.7603351,-65.0082516,11.0932,285.895
154,NGTS-1 b,NGTS-1,82.7142134,-36.6309812,14.8661,218.121
155,TOI-1288 c,TOI-1288,313.1670294,65.6087833,10.4468,114.865
156,NGTS-24 b,NGTS-24,168.5638892,-37.9101328,13.0525,683.062
157,NGTS-9 b,NGTS-9,141.9206435,-19.3476477,12.6547,609.128
158,HD 17156 b,HD 17156,42.4366123,71.7530882,8.03298,78.0863
159,TOI-3894 b,TOI-3894,201.3748265,52.7681036,11.6943,417.365
160,HD 213885 b,HD 213885,338.9837166,-59.864829,7.80173,48.0883
161,NGTS-4 b,NGTS-4,89.5988945,-30.8117992,12.9092,280.555
162,TOI-3693 b,TOI-3693,15.6543938,51.3038918,11.9579,176.436
163,TOI-1836 c,TOI-1836,245.9079242,54.6900774,9.64482,191.649
164,TOI-3261 b,TOI-3261,47.7285242,-73.531972,13.0582,300.141
165,TOI-1736 c,TOI-1736,43.4344615,69.101345,8.77969,88.9482
166,NGTS-15 b,NGTS-15,73.3553101,-32.8003484,14.4299,786.485
167,TOI-3919 b,TOI-3919,208.9447534,40.3918061,12.7133,604.591
168,TOI-3976 A b,TOI-3976 A,224.3560083,44.2743223,12.2192,516.087
169,NGTS-26 b,NGTS-26,217.6832961,-31.7324526,14.7261,1093.69
170,HD 104067 b,HD 104067,179.7923543,-20.3556058,7.62029,20.3632
171,TOI-1180 b,TOI-1180,214.5557741,82.1937642,10.7445,72.0238
172,TOI-5293 A b,TOI-5293 A,355.828682,-2.0450945,14.9816,162.229
173,HD 104067 c,HD 104067,179.7923543,-20.3556058,7.62029,20.3632
174,TOI-3023 b,TOI-3023,165.3158231,-72.3567044,12.0336,389.916
175,TOI-5238 b,TOI-5238,223.3588909,68.859472,12.0984,290.646
